,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Today_Return,Predict_Return,SMA,EMA,RSI,MACD,ROC,Bollinger_Bands_lower,Bollinger_Bands_upper,CCI
100,8/5/1980,1.4643,1.4643,1.4643,1.4643,0.006799999999999917,0.0050000000000001155,1.47573,1.4768002203697579,41.32231404958664,-0.004611865961987149,0.004665523156089137,1.4562208273510886,1.5090391726489112,-110.94298511076097
101,8/6/1980,1.4693,1.4693,1.4693,1.4693,0.0050000000000001155,-0.008199999999999985,1.47347,1.4763302051337768,43.20000000000001,-0.004496215059050401,0.0034146008331626823,1.4548531263570053,1.5081068736429946,-70.34769550652689
102,8/7/1980,1.4611,1.4611,1.4611,1.4611,-0.008199999999999985,-0.0012000000000000899,1.47001,1.475502933564392,40.148698884758346,-0.005214791000258234,-0.005580888858640158,1.452312642725343,1.507707357274657,-101.14733492016816
103,8/8/1980,1.4599,1.4599,1.4599,1.4599,-0.0012000000000000899,-0.0006999999999999229,1.46668,1.4746881050318028,40.7547169811321,-0.005794179346467754,-0.0008212990212853944,1.449913413354071,1.5070165866459293,-93.4887702689104
104,8/11/1980,1.4592,1.4592,1.4592,1.4592,-0.0006999999999999229,0.0015000000000000568,1.4635199999999997,1.4741619078778756,46.28571428571437,-0.0076924343955901975,-0.0004794848962257161,1.4476623791012289,1.5063376208987709,-85.70052961001358
105,8/12/1980,1.4607,1.4607,1.4607,1.4607,0.0015000000000000568,0.0012999999999998568,1.4615299999999998,1.4740669473298091,45.31490015360995,-0.008658300910129535,0.0010279605263158284,1.4458687548328113,1.5056812451671888,-70.51806806221484
106,8/13/1980,1.462,1.462,1.462,1.462,0.0012999999999998568,-0.004899999999999904,1.46076,1.4735666738710367,46.48318042813465,-0.009506276984753592,0.0008899842541246366,1.444535240778801,1.5044447592211987,-58.57387389499908
107,8/14/1980,1.4571,1.4571,1.4571,1.4571,-0.004899999999999904,-0.00019999999999997797,1.4604200000000003,1.4729479817925206,50.33112582781461,-0.010611829114186122,-0.0033515731874144356,1.4430743756393827,1.5023356243606172,-75.3173415705397
108,8/15/1980,1.4569,1.4569,1.4569,1.4569,-0.00019999999999997797,-0.010600000000000165,1.4608,1.4734686922880162,54.559043348281115,-0.011499268563949006,-0.0001372589389883865,1.4414704173679886,1.5011295826320115,-70.76167076167064
109,8/18/1980,1.4463,1.4463,1.4463,1.4463,-0.010600000000000165,-0.00039999999999995595,1.45968,1.4724032533747609,37.681159420289895,-0.012413136718676387,-0.007275722424325735,1.4386626994960172,1.4995973005039829,-116.15956039483126
110,8/19/1980,1.4459,1.4459,1.4459,1.4459,-0.00039999999999995595,0.0020999999999999908,1.45784,1.470917422778236,27.222222222221617,-0.011320826889649194,-0.00027656779368039546,1.436749469373757,1.4968205306262434,-112.49208892719207
111,8/20/1980,1.448,1.448,1.448,1.448,0.0020999999999999908,-0.0011999999999998678,1.45571,1.4701945892633155,35.25179856115062,-0.010516821434446877,0.0014523825990732351,1.4358274618644322,1.493352538135568,-98.90306426612783
112,8/21/1980,1.4468,1.4468,1.4468,1.4468,-0.0011999999999998678,-0.006300000000000194,1.45428,1.4702783683960783,35.25179856115089,-0.010440925494582975,-0.0008287292817678645,1.436200792554021,1.488089207445979,-107.57474850152286
113,8/22/1980,1.4405,1.4405,1.4405,1.4405,-0.006300000000000194,0.000600000000000156,1.45234,1.4681634949134477,29.341317365269006,-0.010855268891753589,-0.0043544373790435405,1.4361401989738896,1.4828798010261106,-151.11287758346757
114,8/26/1980,1.4411,1.4411,1.4411,1.4411,0.000600000000000156,0.0024999999999999467,1.45053,1.4665203948705263,25.316455696202496,-0.011674976225809486,0.000416522040958109,1.437190194732491,1.476859805267509,-136.6952789699585
